Name,Category,Well_Known_Movie,Bio
Sujata Rubener,Actress,Flame of Calcutta,"Sujata Rubener was born on February 3, 1918 in Bombay, Bombay Presidency, British India"
Haridhan Mukherjee,Actor,Antony Firingee,"Haridhan Mukherjee was born on November 10, 1907 in Gobardanga, Bengal Presidency, British India as Dinobandhu Mukhopadhyay"
Gaurav Chakrabarty,Actor,Byomkesh,"Gaurav Chakrabarty was born on March 6, 1987 in Calcutta, West Bengal, India"
Manohar Shyam Joshi,Writer,Bhrashtachar,
T.V. Chandran,Director,Dany,T
Ayush Jain,Visual Effects,The Lion King,Ayush Jain is a VFX Compositor for feature films
Ramesh Saigal,Director,Railway Platform,"Ramesh Saigal was born on March 2, 1918 in Multan, Punjab, British India"
Fiona Hartford,Actress,The Avengers,"Fiona Hartford was born on January 31, 1944 in Delhi, India as Fiona Evelyn Battye"
Basu Bhattacharya,Director,Teesri Kasam,"Basu Bhattacharya (1934- 1997), born into a Bengali family of priests, made his mark as one of the pioneers of parallel cinema in Bombay, India"
Manish Jha,Director,Matrubhoomi: A Nation Without Women,"Manish Jha was born on May 3, 1978 in Bihar, India"
S.D. Narang,Director,Dilli Ka Thug,S
Akhil Mishra,Actor,3 Idiots,"Akhil Mishra was born on July 22, 1965 in India"
Vamshi,Director,Chettu Kinda Pleader,"Vamshi was born in 1956 in Karnataka, India"
Tarachand Barjatya,Producer,Maine Pyar Kiya,Great grandaughter is author Kashvee R Barjatya (Grandson Rajjat's daughter)
Harnam Singh Rawail,Director,Mere Mehboob,His banner Roshni Films was named after his daughter
Arko Pravo Mukherjee,Music Department,Bareilly Ki Barfi,Dr
Gulshan Kumar,Producer,Dil Hai Ki Manta Nahin,"Gulshan Kumar was born on May 5, 1951 in New Delhi, India"
Aritro Rudraneil Banerjee,Actor,Uri: The Surgical Strike,"Aritro Rudraneil Banerjee is an Indian actor, who has appeared in Bollywood films, web series, short films, advertisements and theatre shows"
Amit Bhargav,Actor,Yennai Arindhaal,"Amit Bhargav was born on November 25, 1989 in Bangalore, India"
Simran Suri,Actress,Good Newwz,"Simran Suri was born on September 29, 1990 in New Delhi, India"
Rattan Kumar,Actor,Gopal - Krishna,"Rattan Kumar was born on March 19, 1941 in Ajmer, Ajmer State, British India as Syed Nazir Ali"
Ghantasala Venkateswara Rao,Music Department,Bhakta Raghunath,"The legend in telugu music, Ghantasala was born in 1922"
Kunal,Art Department,Zinda,Kunal was born in 1976 in India
Faisal Saif,Writer,Come December,Faisal Saif started his career following the cinema school of south Indian film maker Balu Mahendra
Ramu Kariat,Director,Chemmeen,"Ramu Kariat was born on February 1, 1928 in Engandiyur, Kerala, India"
Deepak Agrawal,Composer,Secret of Selfie,Deepak Agarwal is an Indian film composer & lyricist
Diana Hayden,Actress,Othello: A South African Tale,"Diana Hayden was born on May 1, 1973 in Hyderabad, Andhra Pradesh, India"
Swami Satchidananda,Actor,Chappaqua,H
Kal Parekh,Actor,New Year's Eve,Kal Parekh was born in India
C. Ramchandra,Composer,Azaad,
M.N. Nambiar,Actor,Enga Veetu Pillai,M
Ravi Kumar,Director,Bhopal: A Prayer for Rain,
Prashant Nanda,Writer,Pooja,"Prashant Nanda was born in 1947 in Orissa, India"
Harivansh Rai Bachchan,Music Department,Alaap,Harivansh Rai Bachchan was an Indian Hindi-language poet and writer of the Nayi Kavita literary movement of early 20th century Hindi literature
Kazi Nazrul Islam,Music Department,Daruchini Dwip,"Kazi Nazrul Islam was born on May 24, 1889 in Churulia, Bengal Presidency, British India"
Mithu Mukherjee,Actress,Marjina Abdulla,"Mithu Mukherjee was born on June 19, 1955 in Calcutta, West Bengal, India"
Ajay Jadeja,Actor,Khel,"Ajay Jadeja was born on February 1, 1971 in Jamnagar, Gujarat, India"
Gaurav Solanki,Writer,Article 15,"Delhi, India"
Sunil Gavaskar,Actor,Savli Premachi,"Sunil Gavaskar was born on July 10, 1949 in Bombay, State of Bombay, India as Sunil Mahohar Gavaskar"
Bhogwan Singh,Actor,Beau Geste,"Bhogwan Singh was born on September 22, 1883 in British India"
Shazia Iqbal,Writer,Dying wind in her hair,Shazia Iqbal has been working as a Production Designer for thirteen years in the Indian Film & Advertising Industry
Mir Afsar Ali,Actor,Colkatay Columbus,"Mir Afsar Ali was born on February 13, 1975 in Murshidabad, West Bengal, India"
Vikram Chatterjee,Actor,Byomkesh,"Vikram Chatterjee was born on May 17, 1987 in Calcutta, West Bengal, India"
Rani Dubé,Producer,Gandhi,"Rani Dubé was born on October 21, 1937 in Uttar Pradesh, India"
Janardhana Rao Arja,Actor,Thyagayya,"Janardhana Rao Arja was born on December 21, 1926 in Machilipatnam, Andhra Pradesh, India"
Olga Dickie,Actress,Picnic at Hanging Rock,"Olga Dickie was born on August 28, 1900 in Mariani, Assam, India as Olga Helen Fowler Dickie"
Kabir Singh Chowdhry,Art Director,Mehsampur,"Kabir Singh Chowdhry was born on November 28, 1985 in Chandigarh, Punjab, India"
Anupam Roy,Composer,Piku,"Anupam Roy was born on March 29, 1982 in Calcutta, West Bengal, India"
Dildar,Actor,Tumi Shudhu Amar,"Dildar was born on January 13, 1945 in Chandpur, East Bengal, British India"
Muzahid Khan,Actor,I Know You,"Muzahid Khan was born to Ahmed Nabi Khan in 1985 July 02, at Islam Nagar, Uttar Pradesh"
Nimisha Vakharia,Actress,Tenali Rama,"Nimisha Vakharia was born on December 31, 1969 in Bombay, Maharashtra, India"
Kashinath,Director,Be-Shaque,"Kashinath was born in Kundapura, Udupi, Karnataka, India"
Khayyam,Composer,Umrao Jaan,"For Khayyam, Asha Bhosle was a very special vocalist who had been singing songs from his films from 1953 to 2012, especially"
Dilip Ghosh,Director,Commando,Dilip Ghosh is an Indian film director and producer
Micki Maunsell,Actress,White Noise,"Micki Maunsell was born on February 13, 1923 in Poona, Bombay Presidency, British India as Margery Anne Botevyle Hickin"
W.Z. Ahmed,Director,Waada,W
Pamela Alan,Actress,The Teckman Biography,"Pamela Alan was born on June 9, 1921 in Agra, India as Pamela Ann Murray Oecken"
Rahul Singh,Actor,Namak Halaal,Rahul Singh a
Sandhya,Actress,Maya Bazaar,"Sandhya, born ""Vedavalli"" in 1924 in Srirangam, Madras Presidency, British India, was an actress, known for"
K.L. Saigal,Actor,Tansen,K
Vishal Srivastav,Music Department,Chattan 2 Revive,Vishal Srivastav was born 23 September 1983 in Delhi
Apurva Dhar Badgaiyann,Director,Chaman Bahar,"Apurva Dhar Badgaiyann was born on March 30, 1985 in Bilaspur, India"
Dawood Ibrahim,Self,The World History of Organized Crime,"Dawood Ibrahim was born on December 31, 1955 in Ratnagiri, Maharashtra, India as Dawood Kaskar"
Aruna Raje,Writer,Rihaee,Aruna Raje first studied medicine at Grant College in Bombay but changed her career to cinema at FTII and graduated from there in 1969 at the age of 23 as one of India's first female film technicians
Hemen Gupta,Director,42,"Early Life and BackgroundHemen Gupta was born in Rajasthan, British India"
Verma Malik,Soundtrack,Eternal Sunshine of the Spotless Mind,
Bharat Rangachary,Director,Takkar,Uncle to producers Arun and Vivek Rangachari
Satya Bannerjee,Actor,Golapi Mukta Rahasya,"Satya Bannerjee was born on September 25, 1933 in Patna, Bihar and Orissa Province, British India"
Aditya,Actor,Edegarike,"Aditya was born on May 4, 1978 in Bangalore, Karnataka, India as Aditya Singh"
Shaji N. Karun,Director,Vanaprastham,Shaji Neelakantan Karun was born on new years day 1950 as the eldest son of Mr
Vivekanand Ahuja,Assistant Director,The Experiment,"He was born & brought up in Kolkata (then Calcutta, in West Bengal India"
Tapan Basu,Camera Department,Kaminey,
Barry Justice,Actor,Doctor Who,"Barry Justice was born on August 18, 1940 in Lucknow, India"
Romy,Music Department,Uri: The Surgical Strike,"Romy was born on July 11, 1992 in Patiala, Punjab, India"
Vijay Chavan,Actor,Zabardast,"Vijay Chavan was born in 1955 in Mumbai, Maharashtra, India"
Latha Hegde,Actress,Athiratha,"Latha Hegde was born on May 27, 1993 in Karnataka, India"
Shailendra Singh,Music Department,Bobby,"Shailendra Singh was born on October 4, 1952 in Bombay, State of Bombay, India"
Vikash Singh Rajput,Casting Department,Yeh Kahan Aa Gaye Hum,"Vikash Singh Rajput (05th December 1996 born in New Patna Bihar India) He is a Actor in Tv Serial and Bollywood film industry, he is Done many TV serial like as Ashoka on Colors Tv, Maharana Pratav on Sony Channel, Sadda Haq on Channel [V] and many more, He is Also In Casting Director in Bollywood "
Kalpataru,Director,Mr. Q,
Kumar Kanchan Ghosh,Actor,Gone Kesh,"Kumar Kanchan Ghosh was born on March 9, 1967 in Allahabad, India"
Khurshid Begum,Actress,Tansen,Khurshid started her film career way back in the late thirties and was among the two surviving actresses to have shared stellar honours with the renowned singer K
Arun,Actor,Ek Hi Raasta,"Arun was born on January 17, 1917 in Gujranwala, Punjab, British India as Arun Kumar Ahuja"
Riti Sachdeva,Actress,Uncommitted,Riti Sachdeva was born in India
V.K. Ramasamy,Actor,Paayum Puli,V
Kiran Talasila,Producer,Ae Kaash Ke Hum,Kiran K Talasila is a film producer of the Indian film industry
Swarup Dutt,Actor,Manavata,"Swarup Dutt was born on June 22, 1941 in Calcutta, British India"
Bablu Baghel,Actor,Qismat,Bablu Baghel (born 10 March 1994) is an Indian businessman
Girish Ghanekar,Director,Navasache Por,"Girish Ghanekar was born on August 16, 1943 in Bombay, Bombay Presidency, British India"
Abhilash Shetty,Actor,Vinashi,"Abhilash Shetty is an Indian filmmaker, screenwriter, and actor"
Soundarya R. Ashwin,Director,Velaiilla Pattadhari 2,Soundarya R
T.H. White,Writer,The Sword in the Stone,T
Muhammad Ali Jinnah,Self,Congress Session in Bombay,"Muhammad Ali Jinnah was a barrister, politician and the founder of Pakistan"
Nutan Prasad,Actor,Veta,"Nutan Prasad was born on December 12, 1945 in Krishna District, Andhra Pradesh, India as Tadivada Varaprasad"
Jawahar Kaul,Actor,Pehli Jhalak,"Jawahar Kaul was born on September 27, 1927 in Srinagar, Kashmir, India"
Adurthi Subba Rao,Director,Milan,"Adurthi Subba Rao (16 December 1912 - 1 October 1975) was an Indian film director, cinematographer, screenwriter, editor and producer known for his works predominantly in Telugu cinema, Bollywood, and Tamil cinema"
Sudhakar Sharma,Music Department,1 - Nenokkadine,Sudhakar Sharma walked to Mumbai when he was at the end of his teens
Anuj Sawhney,Actor,Naina,"Anuj Sawhney was born on February 25, 1981 in Delhi, India"
David Conville,Actor,Surgical Spirit,"David Conville was born on June 4, 1929 in Srinagar, Kashmir, India as David Henry Conville"
John Bowen,Writer,The Guardians,"John Bowen was born on November 5, 1924 in Calcutta, India as John Griffith Bowen"
A. Vincent,Cinematographer,Prem Nagar,Grandson John Vincent ( John Vin on Face Book) lives in Vancouver B
Kishore Pradhan,Actor,Jab We Met,"Kishore Pradhan was born on November 1, 1936 in Nagpur, India"
Johnson,Composer,Ponthan Mada,
Naman Shaw,Actor,Rakt Sambandh,"Naman Shaw was born on December 18, 1986 in Calcutta, West Bengal, India"
J.V. Somayajulu,Actor,Thyagayya,J
Vikas Khanna,Director,The Last Color,"Vikas Khanna was born on November 14, 1971 in Amritsar, India"
Varalakshmi G.,Actress,Kanna Talli,Varalakshmi G
Ramachandra Babu,Cinematographer,Cineku,"Ramachandra Babu was born on December 15, 1947 in Maduranthakam, Tamil Nadu, India"
Na. Muthukumar,Music Department,Thanga Meengal,
Vasant Joglekar,Director,Aaj Aur Kal,"Vasant Joglekar was born on September 25, 1914 in Nagpur, Central Provinces and Berar, British India"
Chandra Mohan,Actor,Amrit Manthan,"Chandra Mohan was born in 1905 in Narasingpur, India"
Atul Mongia,Casting Director,Queen,"Atul Mongia has been associated with Hindi cinema for a period spanning two decades, establishing himself as one of the industry's most acclaimed casting directors, with films like"
Lak Rana,Actor,General Hospital,"Lak Rana was born in Patiala, Punjab, India"
S.S. Vasan,Director,Insaniyat,
Renu Saluja,Editor,Parinda,Renu Saluja was the younger sister of famous bollywood actress Radha Saluja
Julian Sherrier,Actor,Doctor Who,"Julian Sherrier was born on June 21, 1929 in India"
Nithilan,Director,Kurangu Bommai,
Chinmoy Roy,Actor,Chiriyakhana,"Chinmoy Roy was born on January 16, 1940 in Comilla, Bengal Presidency, British India"
Gitanjali,Actress,Parasmani,"Gitanjali was born in 1947 in Kakinada, India as Mani"
Dharmavarapu Subramanyam,Actor,Yagnam,"Dharmavarapu Subramanyam was born on September 20, 1960 in Komminenivari Palem, Ballikurava Mandalam, Prakasam District, Andhra Pradesh, India"
Ravi Prakash,Actor,Vedi,"Ravi Prakash was born on June 28, 1958 in Bangalore, Mysore State, India"
Mahesh Bhupathi,Producer,Chalo Dilli,
Shreela Ghosh,Actress,EastEnders,"Shreela Ghosh was born on September 25, 1962 in Shillong, Assam, India"
Nilanjan Neil Lahiri,Producer,Focus,"Nilanjan Lahiri was born in Tellicherry, Kerala, in Blue Lagoons of South India"
Murali,Actor,Silambu,"Murali was born on May 19, 1964 in Bangalore, Mysore State, India"
Anantha Sriram,Music Department,Bãhubali: The Beginning,"Anantha Sriram was born on April 8, 1984 in India"
Mala Aravindan,Actor,Sallapam,"Mala Aravindan was born in 1939 in Ernakulam, Kerala, India as T"
Bulbul Ahmed,Actor,Rajlokkhi Srikanto,"Bulbul Ahmed was born on September 15, 1941 in Dacca, East Bengal, British India as Tabarruk Ahmed"
K. Raj Srivastava,Writer,Anokha,"In an era predominantly presenting movies with extreme sex, language and redundant style of film making there are those who stand out from the crowd preserving the classic & original style of movie making as are the film creations of K"
Thoppil Bhasi,Writer,Sarvekkalu,"Thoppil Bhasi was born on April 8, 1924 in Vallikunnam, Alleppey, India"
Sushil Majumdar,Director,Bhangagara,"Sushil Majumdar was born on December 22, 1906 in Comilla, Bengal, British India"
Girish Kasaravalli,Director,Gulabi Talkies,"Girish Kasaravalli was born on December 3, 1950 in Kesalur, Karnataka, India"
Siddhartha Mukherjee,Self,CBS This Morning,"Siddhartha Mukherjee was born in 1970 in New Delhi, India"
Tapi Chanakya,Director,Enga Veetu Pillai,Son of the famous writer Dharma Rao TapiWorked as Radio Telegraphist for Indian Army before joining movie industry in 1947
S.R. Puttana Kanagal,Director,Ranganayaki,
Kajal Gupta,Actress,Marjina Abdulla,"Kajal Gupta was born on January 8, 1936 in Calcutta, Bengal Presidency, British India as Sandhya Chattopadhyay"
Sampurna Lahiri,Actress,Byomkesh Phire Elo,"Sampurna Lahiri was born in 1991 in Calcutta, West Bengal, India"
Laxmi Narayan Tripathi,Actress,Upeksha,"Laxmi Narayan Tripathi was born in December 1978 in Uttar Pradesh, India"
Dhruv Singhal,Producer,Vasiyat,"Dhruv Singhal was born on October 31, 1994 in New Delhi, India"
Sumita Devi,Actress,Kokhono Asheni,Sumita Devi (1936 - 2004) is a Bengali film and TV actress
Varalakshmi S.,Actress,Chakravarthi Thirumagal,Varalakshmi S
Cyrus Broacha,Actor,Ramayana: The Legend of Prince Rama,Cyrus Broacha was born in 1971 in India
Mihir Mishra,Actor,Sanjivani: A Medical Boon,"Mihir Mishra was born on December 19, 1978 in Bombay, Maharashtra, India"
Riju Bajaj,Cinematographer,The Re-Bell,"Born in Delhi on 8th December, son of shri Ram Gopal Bajaj & Late shrimati Chandrakala Khemchand Prakash"
Protima Bedi,Actress,Gaman,Protima Bedi was born in 1949 in India as Protima Gauri
Hazel Adair,Writer,Virgin Witch,"Hazel Adair was born on July 9, 1920 in Darjeeling, India as Hazel Joyce Willett"
Sitara Devi,Actress,Devdas,"Sitara Devi was born on November 8, 1920 in Calcutta, Bengal Presidency, British India as Dhanalakshmi"
Pradeep Pandey,Actor,Chhora Ganga Kinare Wala,Pradeep Pandey is an Indian film actor known for his works in Bhojpuri films
Gavin N. Methalaka,Actor,Katti Batti,Gavin N
Kunal Rawal,Costume Designer,24,"Kunal Rawal is a fashion designer, who specializes in men's fashion apparels"
Shilajit Majumdar,Music Department,Rupkatha Noy,"Shilajit Majumdar was born on October 9, 1965 in Karidhya, Birbhum, West Bengal, India"
Ben Dubash,Producer,StartUp,"Ben Dubash was born on December 14, 1978 in Bombay, India as Behram H"
Sujan Mukherjee,Director,Amar Akashe Megh Brishti,"Sujan Mukherjee was born on July 22, 1974 in Howrah, West Bengal, India"
Pankaj Kumar,Director,Buchcha,
Dev Benegal,Director,"English, August",Dev Benegal grew up in the cinema theatres of Delhi on a diet of American and British imports
Pankaj Yadav,Editor,A Classic Story,"Early lifePankaj Yadav was born in Farrukhabad, Uttar Pradesh, where his father worked in the state government office"
M. Sadiq,Director,Chaudhvin Ka Chand,
Santosh Kumar,Actor,Shaam Dhalay,"Santosh Kumar, whose real name was ""Syed Musa Raza"", son of Syed Daud Musa, successfully graduated with higher grades, from Usmania University, Hyderabad Deccan"
Kahlil Joseph,Actor,La linea,"Kahlil Joseph is an American actor who has traveled and lived in many countries from an early age - Australia, England, the United States, Canada, and much of Europe"
Puneet Sharma,Music Department,Sanju,"Mumbai, Maharashtra, Indore"
Shweta Shetty,Music Department,Roja,"Shweta was born in the Shetty household on June 20, 1969 in India"
Abijeet Duddala,Actor,Cut cheste,"Abijeet Duddala was born to Manmohan Duddala and Lakshmi Prasanna Duddala on the 11th of October, 1988"
Nivedita Tiwari,Actress,Turning 30!!!,"Nivedita Tiwari was born on November 24, 1985 in Uttar Pradesh, India"
Shivam Gupta,Casting Department,Raid,Shivam Gupta is an actor and a casting director in bollywood who hails from Agra
Anjan Das,Director,Faltu,"Winner of 2 national awards and multiple international awards, Anjan Das started his film career in the mid 70's with two documentaries named 'The art of Anant Malakar' and 'Tripura'"
Shakuntala Barua,Actress,Toofan,"Shakuntala Barua was born on April 22, 1947 in Calcutta, Bengal Presidency, British India"
Padmanabham,Producer,Shri Rama Katha,"Padmanabham was born on August 20, 1931 in Simhadripuram, Andhra Pradesh, India as Venkata Padmanabham Basavaraju"
Shanti Hiranand,Actress,Siddhartha,"Shanti Hiranand was born in 1932 in Lucknow, India"
Nitish Mukherjee,Director,Rabibar,"Nitish Mukherjee was born on November 24, 1917 in Shantipur, India as Nitish Mukhopadhyay"
Ravi Khanna,Stunts,Baaz,Ravi Khanna migrated from Pakistan during partition to the than Bombay & joined film industry as a Jr
Kuldeep Pawar,Actor,Doodh Ka Karz,"Kuldeep Pawar was born on December 24, 1949 in Maharashtra Province, India"
Ram Avtar,Actor,Phir Wohi Dil Laya Hoon,"Ram Avtar was born in 1911 in Rawalpindi, Punjab, British India"
Dhundiraj Govind Phalke,Director,Lanka Dahan,Dadasaaheb Phalke was born in 1870 in Trymbakeshwar in Nasik
Kiranraj K,Writer,Kabbina Haalu,"Kiranraj K is an Indian Film Director, Documentary Film Maker and film Actor who works in Kannada cinema"
Chetana Das,Actress,Jodhaa Akbar,"Chetana Das was born on November 4, 1954 in Shillong, Assam, India"
Shantanu Shrikant Bhake,Casting Department,Shivaay,"Shantanu Shrikant Bhake was born on March 12, 1992 in Nagpur, Maharashtra, India"
Debu Bose,Actor,Love Dot Com,"Debu Bose was born on December 2, 1942 in British India"
Haranath,Actor,Seetha Rama Kalyanam,"Haranath was born on September 2, 1936 in Raparthi, West Godavari, Andhra Pradesh, India"
Mahendran,Actor,Master,"Mahendran was born on July 23, 1991 in Chennai, Tamil Nadu, India"
Ruskin Bond,Writer,Junoon,"Ruskin Bond was born on May 19, 1934 in Kasauli, Punjab, British India"
Narendra Bedi,Director,Maha Chor,"Has three children: actor Rajat Bedi, producer Manik Bedi, and television writer Ida Bedi"
Hermione Harvey,Actress,The Howerd Crowd,"Hermione Harvey was born on June 25, 1931 in Mussoorie, India as Hermione Helen Mary Hudson"
Pahadi Sanyal,Actor,Maya,"Pahadi Sanyal was born on February 22, 1906 in Darjeeling, Bengal Presidency, British India as Nagendranath Sanyal"
Birsa Dasgupta,Director,Shudhu Tomari Jonyo,Birsa Dasgupta is an Indian film director based in Tollywood
Jose Prakash,Actor,Devasuram,"Jose Prakash was born on April 14, 1925 in Kottayam, Travancore, British India"
Vinuchakravarthy,Actor,Villain,"Vinuchakravarthy was born on December 15, 1945 in Usilampatti, Madras Presidency, Madurai District, British India"
Anwar Maqsood,Writer,Zinda,"Anwar Maqsood was born in 1935 in Hyderabad Deccan, British India as Anwar Maqsood Hameedi"
Priyam Chakraborty,Special Effects,Alifa,
Nalini Chonkar,Actress,Do Roti,"Nalini Chonkar was born on June 12, 1938 in Bombay, India"
Bhupen Hazarika,Music Department,Chameli Memsaab,"Bhupen Hazarika is one of the most well-known personalities from Assam, India"
Madhuri Bhattacharya,Actress,Bachelor Party,"Madhuri Bhattacharya was born on July 1, 1982 in Bangalore, Karnataka, India"
Saroja Devi B.,Actress,Sri Krishnarjuna Yudham,Saroja Devi B
Abhimanyu Sharma,Actor,Ek Musafir Ek Hasina,"Abhimanyu Sharma was born on September 5, 1928 in Allahabad, Uttar Pradesh, India"
Mumtaz Ali,Writer,Chhote Nawab,"Mumtaz Ali was born on March 15, 1915 in Madras, Madras Presidency, British India"
Girija,Actress,Appu Chesi Pappu Koodu,"Girija was born on March 3, 1938 in Kristna, India"
Kongara Jaggaiah,Actor,Padandi Munduku,"The famous character artiste, who was an indespensible actor in films for 3 decades from the 50s to the 70s, Kongara Jaggaiah started his career as a radio announcer in All India Radio after leaving his job"
Kushal Chakraborty,Actor,Dabee,"Kushal Chakraborty was born in 1966 in Calcutta, West Bengal, India"
Chandrakant Gokhale,Actor,Love and Murder,"Chandrakant Gokhale was born on January 7, 1921 in Miraj, Bombay Presidency, British India"
Jagannatha Varma,Actor,Sallapam,"Jagannatha Varma was born on May 1, 1939 in Cherthala, Kerala, India as K"
Awtar Krishna Kaul,Director,27 Down,
Harisadhan Dasgupta,Director,Kamallata,Great grandfather of Ida Dasgupta
Jayesh Parmar,Writer,Scripted,
Sharad Joshi,Writer,Dil Hai Ki Manta Nahin,"Sharad Joshi was a Hindi poet, writer, satirist and a dialogue and scriptwriter in Hindi films and television"
Krishna Kumari,Actress,Kan Kan Men Bhagwan,"Krishna Kumari was born on October 3, 1934 in Rawalpindi, Punjab, British India"
Madhu Ambat,Cinematographer,Amaram,"Madhu Ambat was born on March 6, 1950 in India"
Taranveer Singh,Script Department,Yeh Jawaani Hai Deewani,Taranveer Singh is an Indian screenwriter and film director
Sunil Gangopadhyay,Writer,Aranyer Din Ratri,"Sunil Gangopadhyay was born on September 7, 1934 in Faridpur District, Bengal Presidency, British India"
Asheesh Kapur,Actor,Table No.21,"Asheesh Kapur was born on January 31, 1981 in Lucknow, Uttar Pradesh, India"
Ramana Reddy,Actor,C.I.D,"Ramana Reddy was born on October 1, 1921 in Jagadevipeta, Nellore District, Andhra Pradesh, India as Venkata Ramana Reddy Tikkavarapu"
Roshan,Composer,Taj Mahal,"Roshan was born on July 14, 1917 in Gujranwala, Punjab, British India as Roshanlal Nagrath"
Sathya Sai Baba,Producer,Subhash Chandra Bose,"Sathya Sai Baba (born Sathya Narayana Raju; 23 November 1926 - 24 April 2011) was an Indian guru, and philanthropist"
T. Damodaran,Writer,Stalin Sivadas,T
Sulata Chowdhury,Actress,Fuleswari,"Sulata Chowdhury was born in 1945 in Calcutta, Bengal Presidency, British India as Maya Roychowdhury"
Rajendra Prasad V.B.,Producer,Captain Nagarjuna,"Veeramachaneni Rajendra Prasad was an Indian film producer and director, known for his works predominantly in Telugu cinema, Bollywood, and Tamil films"
Shanker,Director,Keralotsavam 2009,"Often referred as the Romantic hero of Malayalam films, Shanker was also a big star in Tamil films, as his debut film ""Oru Thalai Raagam"" completed 365 days in several theaters and crossed 450 days at Coimbatore"
Ramakrishna,Actor,Bhishma,"Ramakrishna was born on October 15, 1939 in Bhimavaram, Andhra Pradesh, India"
Atma Ram,Director,Qaid,"Atma Ram was born on August 21, 1930 in Calcutta, Bengal Presidency, British India as Atma Ram Padukone"
Mimi Morales,Actress,Perseguidos,"Mimi Morales was born on April 1, 1976 in Cartagena de Indias, Colombia"
Meena Shorey,Actress,Aag Ka Dariya,"Meena Shorey was born on September 15, 1921 in Raiwind, Punjab, British India as Khursheed Jehan"
Subrata Mitra,Cinematographer,New Delhi Times,"Subrata Mitra, one of India's leading cinematographers, is most famous for his collaboration with Satyajit Ray"
Ranganath,Actor,Kondaveeti Donga,"Ranganath was born in 1949 in Madras, India as Tirumala Sundara Sri Ranganath"
Vasant Shinde,Actor,Manaacha Mujra,"Vasant Shinde was born on May 14, 1912 in Pune, Maharashtra, British India"
Gautam Parvi,Director,August 25,Gautam Parvi is a Filmmaker and a Writer based in Mumbai
Ravindra Dave,Director,Post Box 999,
Devi Vara Prasad,Producer,Mrugaraaju,
G.K. Pillai,Actor,August 1,G
Bibhutibhushan Bandyopadhyay,Writer,Fuleswari,
Zakir Hussain,Music Department,Apocalypse Now,"Zakir Hussain was born on March 9, 1951 in Bombay, State of Bombay, India as Zakir Hussain Qureshi"
Serah Singh,Actress,Yaariyan,Serah Singh is an Indian film Actress and Model
Master Ratan,Actor,Ankhen,"Master Ratan was born on August 21, 1942 in Ajmer, India"
Supriya Vinod,Actress,Baavare Prem He,"Supriya Vinod was born in 1971 in Bombay, Maharashtra, India"
Zeenat Begum,Actress,Heer,"Zeenat Begum was born on November 11, 1931 in Malerkotla, Punjab, British India as Shamim Akhtar"
Major Sundarrajan,Actor,Nenjalgal,"Major Sundarrajan was born in 1936 in Periyakulam, Tamil Nadu, India"
Baba Sehgal,Soundtrack,A Mighty Heart,"Baba Sehgal was born on November 23, 1965 in Lucknow, Uttar Pradesh, India as Harjit Singh Sehgal"
S. Janaki,Music Department,Thevar Magan,
Aritra Sengupta,Writer,Bornoporichoy: A Grammar of Death,"Aritra is a 27-year-old Indian screenwriter, creative producer, theatre director and playwright based in Kolkata who has had an extremely successful and diverse writing career that spans mediums such as cinema, radio, television and theatre"
Amin Q. Chaudhri,Cinematographer,Kashish,"He was born in British India at Gujrat, Punjab, now present day Pakistan"
Benny Dayal,Music Department,Ghajini,"Benny Dayal was born on May 13, 1984 in Kollam, Kerala, India"
Anu Choudhury,Actress,Purana Purush,"Anu Choudhury was born on August 30, 1978 in Bhubaneshwar, Orissa, India"
Anjaan,Soundtrack,Don,Father of lyricist Sameer
Amit Sharma,Director,Aloof,"Amit Sharma was born on June 28, 1992 in Agra, Uttar Pradesh, India"
B. Ramakrishnaiah Panthulu,Director,Dil Tera Diwana,B
Partho Sen-Gupta,Director,Sunrise,Partho Sen-Gupta is a film writer and director
Bhupinder Singh,Actor,Anji,"Bhupinder Singh was born on May 18, 1969 in Kalagarh, India"
Sampda Sharma,Soundtrack,The Warriors Gate,Sampda Sharma started her career in the entertainment industry as a female MC
Neeraja,Actress,Aaranyam,Neeraja
Kajal Rawat,Actress,Horror Picture,"Kajal Rawat was born on February 7, 1987 in Delhi, India as Vijay Lakshmi"
M.K. Arjunan,Composer,C.I.D. Nazir,
Sukhen Das,Director,Man Abhiman,"Sukhen Das was born on July 28, 1938 in Calcutta, Bengal Presidency, British India as Sukhendranath Das"
Rajdutt,Director,Aaj Jhale Mukt Mi,"Rajdutt was born in 1932 in Dhamangaon, Wardha, Bombay Presidency, British India as Datta Mayalu"
Anu Prabhakar,Actress,Mussanje Maathu,"Anu Prabhakar was born on November 9, 1980 in Bangalore, Karnataka, India"
Sudesh Bhonsle,Music Department,Kabhi Khushi Kabhie Gham...,"Sudesh Bhonsle was born on July 1, 1960 in Maharashtra, India"
Vikas Kalantri,Actor,Jimmy,"Vikas Kalantri was born on August 17, 1978 in India"
Rudhrah Gourav,Editor,Yeh Hai India,"Born on 28th February 1995, in Rupnagar Punjab, Rudhrah Gourav completed his education from Punjab University, and encouraged with the success story of his elder brother Rudhrah Keshav, he too was all set to explore the future as an entrepreneur"
Shaukat Azmi,Actress,Umrao Jaan,"Shaukat Azmi was born in 1928 in Hyderabad State, British India"
